Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Decisao
50,male,2,own,unknown,moderate,1537,15,radio/TV,Aprovado
61,male,3,free,little,moderate,1953,36,business,Aprovado
25,male,2,own,little,moderate,14421,48,business,Negado
26,female,2,own,little,unknown,3181,24,radio/TV,Aprovado
48,male,2,own,unknown,unknown,5190,27,repairs,Negado
29,female,2,own,little,unknown,2171,12,radio/TV,Aprovado
22,male,2,own,rich,moderate,1007,12,car,Aprovado
37,male,2,free,little,unknown,1819,36,education,Aprovado
25,female,2,own,unknown,unknown,2394,36,radio/TV,Aprovado
30,female,2,own,little,unknown,8133,36,car,Negado
46,male,1,rent,unknown,unknown,730,7,radio/TV,Aprovado
51,male,3,free,little,little,1164,8,vacation/others,Aprovado
41,female,1,own,little,moderate,5954,42,business,Negado
40,male,3,own,unknown,little,1977,36,education,Aprovado
66,male,3,free,little,little,1526,12,car,Aprovado
34,male,2,own,little,little,3965,42,radio/TV,Aprovado
51,male,2,own,little,moderate,4771,11,radio/TV,Aprovado
39,male,1,own,unknown,unknown,9436,54,car,Negado
22,male,2,own,little,moderate,3832,30,furniture/equipment,Negado
44,female,2,own,unknown,unknown,5943,24,radio/TV,Negado
47,male,2,own,quite rich,unknown,1213,15,radio/TV,Aprovado
24,female,1,rent,moderate,unknown,1568,18,business,Aprovado
58,female,1,own,little,little,1755,24,vacation/others,Aprovado
52,male,1,own,little,little,2315,10,radio/TV,Aprovado
29,female,3,own,little,unknown,1412,12,business,Aprovado
27,female,2,own,little,moderate,1295,18,furniture/equipment,Aprovado
47,male,2,free,moderate,moderate,12612,36,education,Aprovado
30,male,3,own,moderate,little,2249,18,car,Aprovado
28,male,2,own,little,little,1108,12,repairs,Aprovado
56,male,2,own,little,unknown,618,12,radio/TV,Aprovado
54,male,2,own,little,little,1409,12,car,Aprovado
33,female,1,own,unknown,unknown,797,12,radio/TV,Aprovado
20,male,2,rent,unknown,rich,3617,24,furniture/equipment,Aprovado
54,male,2,own,rich,moderate,1318,12,car,Aprovado
58,male,2,rent,little,moderate,15945,54,business,Negado
61,female,2,own,unknown,unknown,2012,12,education,Aprovado
34,male,2,own,moderate,moderate,2622,18,business,Aprovado
36,male,2,own,little,moderate,2337,36,radio/TV,Aprovado
36,male,3,rent,unknown,moderate,7057,20,car,Negado
41,male,1,rent,moderate,unknown,1469,24,car,Aprovado
24,male,2,rent,little,moderate,2323,36,radio/TV,Negado
24,female,2,own,little,unknown,932,6,radio/TV,Aprovado
35,male,2,rent,little,moderate,1919,9,furniture/equipment,Aprovado
26,male,2,rent,unknown,unknown,2445,12,car,Aprovado
39,male,3,own,little,moderate,11938,24,vacation/others,Negado
39,male,3,own,little,unknown,6458,18,car,Negado
32,male,2,own,little,moderate,6078,12,car,Negado
30,female,2,own,unknown,little,7721,24,furniture/equipment,Negado
35,male,2,own,quite rich,moderate,1410,14,business,Aprovado
31,male,2,own,moderate,moderate,1449,6,business,Aprovado
23,female,2,rent,little,rich,392,15,education,Aprovado
28,male,1,rent,little,moderate,6260,18,car,Negado
25,female,2,own,little,unknown,7855,36,car,Negado
35,male,2,own,quite rich,little,1680,12,radio/TV,Aprovado
47,male,2,own,unknown,unknown,3578,48,radio/TV,Aprovado
30,female,3,own,unknown,little,7174,42,radio/TV,Negado
27,female,2,rent,unknown,little,2132,10,furniture/equipment,Aprovado
23,female,2,own,quite rich,little,4281,33,furniture/equipment,Negado
36,male,3,own,quite rich,moderate,2366,12,car,Aprovado
25,female,2,own,little,little,1835,21,radio/TV,Aprovado
41,female,3,rent,little,unknown,3868,24,car,Aprovado
24,male,1,rent,little,unknown,1768,12,furniture/equipment,Aprovado
63,male,2,free,little,rich,781,10,car,Aprovado
27,female,2,rent,unknown,moderate,1924,18,furniture/equipment,Aprovado
30,male,2,own,little,little,2121,12,car,Aprovado
40,male,1,own,little,little,701,12,radio/TV,Aprovado
30,male,2,own,little,moderate,639,12,repairs,Aprovado
34,male,3,own,little,moderate,1860,12,car,Aprovado
29,female,2,own,little,little,3499,12,car,Aprovado
24,female,2,own,unknown,moderate,8487,48,car,Negado
29,male,2,own,little,little,6887,36,education,Negado
27,male,1,own,little,unknown,2708,15,furniture/equipment,Aprovado
47,male,2,free,little,unknown,1984,18,furniture/equipment,Aprovado
21,female,2,own,moderate,unknown,10144,60,radio/TV,Negado
38,female,2,own,unknown,unknown,1240,12,radio/TV,Aprovado
27,male,2,own,rich,unknown,8613,27,car,Aprovado
66,male,1,own,quite rich,moderate,766,12,radio/TV,Aprovado
35,male,2,own,unknown,moderate,2728,15,radio/TV,Aprovado
44,female,1,rent,little,rich,1881,12,radio/TV,Aprovado
27,male,0,own,rich,rich,709,6,car,Aprovado
30,female,3,own,little,moderate,4795,36,radio/TV,Aprovado
27,male,3,own,little,little,3416,27,radio/TV,Aprovado
22,male,2,own,little,little,2462,18,furniture/equipment,Aprovado
23,female,2,own,little,unknown,2288,21,furniture/equipment,Aprovado
30,male,2,own,moderate,moderate,3566,48,business,Aprovado
39,female,2,own,little,little,860,6,car,Aprovado
51,female,2,own,moderate,unknown,682,12,car,Aprovado
28,male,2,own,little,little,5371,36,furniture/equipment,Negado
46,male,2,own,rich,unknown,1582,18,radio/TV,Aprovado
42,male,2,free,moderate,unknown,1346,6,radio/TV,Aprovado
38,male,2,own,little,unknown,1924,10,radio/TV,Aprovado
24,male,2,own,little,rich,5848,36,radio/TV,Negado
29,female,2,rent,rich,moderate,7758,24,car,Aprovado
36,male,3,rent,moderate,moderate,6967,24,business,Aprovado
20,female,2,rent,little,little,1282,12,furniture/equipment,Aprovado
48,male,2,own,moderate,little,1288,9,repairs,Aprovado
45,male,1,own,little,little,339,12,education,Aprovado
38,male,2,own,moderate,moderate,3512,24,car,Aprovado
34,male,1,own,unknown,unknown,1898,6,radio/TV,Aprovado
36,male,2,own,moderate,unknown,2872,24,radio/TV,Aprovado
30,female,2,own,little,unknown,1055,18,car,Aprovado
36,male,2,own,quite rich,unknown,1262,15,domestic appliances,Aprovado
70,male,3,free,little,moderate,7308,10,car,Negado
36,male,2,own,quite rich,unknown,909,36,car,Aprovado
32,male,2,own,quite rich,unknown,2978,6,furniture/equipment,Aprovado
33,female,2,own,little,little,1131,18,furniture/equipment,Aprovado
20,female,2,own,rich,moderate,1577,11,furniture/equipment,Aprovado
25,female,2,rent,little,unknown,3972,24,furniture/equipment,Aprovado
31,male,2,own,little,moderate,1935,24,business,Aprovado
33,male,2,rent,little,little,950,15,car,Aprovado
26,female,2,own,little,unknown,763,12,furniture/equipment,Aprovado
34,female,3,own,little,moderate,2064,24,furniture/equipment,Aprovado
33,male,2,own,little,moderate,1414,8,radio/TV,Aprovado
26,male,2,own,little,little,3414,21,education,Aprovado
53,female,3,own,unknown,unknown,7485,30,car,Negado
42,male,2,own,little,little,2577,12,furniture/equipment,Aprovado
52,male,2,own,quite rich,little,338,6,radio/TV,Aprovado
31,male,3,rent,little,unknown,1963,12,radio/TV,Aprovado
65,male,2,own,little,little,571,21,car,Aprovado
28,male,2,own,little,unknown,9572,36,business,Negado
30,male,3,own,little,moderate,4455,36,business,Aprovado
40,male,1,own,unknown,little,1647,21,car,Aprovado
50,male,2,own,rich,unknown,3777,24,furniture/equipment,Aprovado
36,male,2,own,little,moderate,884,18,car,Aprovado
31,male,2,own,little,unknown,1360,15,radio/TV,Aprovado
74,female,3,free,little,moderate,5129,9,car,Negado
68,male,0,free,little,moderate,1175,16,car,Aprovado
20,male,2,own,moderate,little,674,12,radio/TV,Aprovado
33,female,2,own,little,moderate,3244,18,furniture/equipment,Aprovado
54,male,3,own,rich,unknown,4591,24,business,Aprovado
34,male,1,free,moderate,moderate,3844,48,business,Aprovado
36,male,2,own,little,moderate,3915,27,business,Aprovado
29,male,2,rent,little,unknown,2108,6,radio/TV,Aprovado
21,male,2,rent,moderate,moderate,3031,45,radio/TV,Negado
34,female,3,own,little,moderate,1501,9,education,Aprovado
28,female,2,own,little,unknown,1382,6,radio/TV,Aprovado
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,Aprovado
36,male,2,free,unknown,moderate,2760,24,car,Aprovado
40,male,3,own,little,moderate,4297,18,furniture/equipment,Aprovado
52,male,2,own,quite rich,unknown,936,9,education,Aprovado
27,male,1,own,little,little,1168,12,car,Aprovado
26,male,2,own,little,unknown,5117,27,business,Negado
21,male,2,rent,little,little,902,12,education,Aprovado
38,male,1,own,little,unknown,1495,12,car,Aprovado
38,male,3,free,little,little,10623,30,car,Negado
43,male,2,own,little,unknown,1935,12,furniture/equipment,Aprovado
26,male,2,own,little,moderate,1424,12,domestic appliances,Aprovado
21,male,1,own,little,little,6568,24,business,Negado
55,male,2,own,rich,unknown,1413,12,car,Aprovado
33,male,2,own,unknown,unknown,3074,9,radio/TV,Aprovado
45,female,1,own,unknown,unknown,3835,36,radio/TV,Aprovado
50,male,2,own,little,little,5293,27,business,Negado
66,male,3,own,little,rich,1908,30,business,Aprovado
51,male,2,own,unknown,unknown,3342,36,radio/TV,Aprovado
39,female,1,own,unknown,moderate,932,6,education,Aprovado
31,male,2,own,little,little,3104,18,business,Aprovado
23,male,2,own,little,rich,3913,36,radio/TV,Negado
24,male,1,rent,little,little,3021,24,furniture/equipment,Aprovado
64,female,2,own,little,unknown,1364,10,car,Aprovado
26,male,1,own,little,moderate,625,12,radio/TV,Aprovado
23,female,2,rent,unknown,little,1200,12,education,Aprovado
30,male,2,own,little,unknown,707,12,radio/TV,Aprovado
32,male,2,own,unknown,unknown,2978,24,business,Aprovado
30,male,2,own,little,unknown,4657,15,car,Aprovado
27,male,2,own,little,unknown,2613,36,repairs,Aprovado
27,male,2,own,rich,moderate,10961,48,radio/TV,Aprovado
53,male,3,free,little,little,7865,12,furniture/equipment,Negado
22,male,2,own,little,unknown,1478,9,radio/TV,Aprovado
22,male,2,free,little,little,3149,24,furniture/equipment,Aprovado
26,male,2,own,little,rich,4210,36,radio/TV,Aprovado
51,male,1,free,quite rich,unknown,2507,9,car,Aprovado
35,male,2,own,moderate,unknown,2141,12,radio/TV,Aprovado
25,male,1,own,little,moderate,866,18,radio/TV,Aprovado
42,male,1,own,little,unknown,1544,4,radio/TV,Aprovado
30,male,3,own,little,little,1823,24,radio/TV,Aprovado
23,male,0,own,unknown,moderate,14555,6,car,Negado
61,male,1,rent,moderate,moderate,2767,21,business,Aprovado
35,female,2,own,little,unknown,1291,12,radio/TV,Aprovado
39,male,2,own,little,little,2522,30,radio/TV,Aprovado
29,female,2,own,unknown,little,915,24,car,Aprovado
51,male,2,own,little,unknown,1595,6,radio/TV,Aprovado
24,male,2,free,little,little,4605,48,car,Negado
27,female,2,own,little,unknown,1185,12,business,Aprovado
35,female,1,own,quite rich,unknown,3447,12,education,Aprovado
25,male,2,own,little,unknown,1258,24,business,Aprovado
52,male,2,own,little,unknown,717,12,radio/TV,Aprovado
35,male,2,rent,moderate,unknown,1204,6,car,Aprovado
26,male,2,own,little,rich,1925,24,furniture/equipment,Aprovado
22,female,2,rent,little,unknown,433,18,radio/TV,Aprovado
39,female,1,own,rich,little,666,6,car,Aprovado
46,female,1,own,little,rich,2251,12,furniture/equipment,Aprovado
24,female,2,own,little,moderate,2150,30,car,Negado
35,male,2,own,moderate,unknown,4151,24,furniture/equipment,Aprovado
24,male,2,own,unknown,moderate,2030,9,furniture/equipment,Aprovado
27,male,1,own,unknown,moderate,7418,60,radio/TV,Negado
35,male,1,own,little,unknown,2684,24,radio/TV,Aprovado
29,male,2,free,little,little,2149,12,radio/TV,Aprovado
23,female,2,own,moderate,unknown,3812,15,car,Aprovado
57,female,1,own,moderate,unknown,1154,11,radio/TV,Aprovado
27,male,2,own,little,little,1657,12,furniture/equipment,Aprovado
55,female,2,own,little,little,1603,24,radio/TV,Aprovado
36,male,3,free,little,little,5302,18,car,Negado
57,female,1,free,little,unknown,2748,12,education,Aprovado
32,male,1,own,little,unknown,1231,10,car,Aprovado
37,male,2,own,little,moderate,802,15,radio/TV,Aprovado
36,male,2,own,unknown,unknown,6304,36,business,Negado
38,female,2,own,little,unknown,1533,24,radio/TV,Aprovado
45,male,3,own,little,little,8978,14,car,Negado
25,male,2,own,unknown,unknown,999,24,radio/TV,Aprovado
32,male,2,own,unknown,unknown,2662,18,car,Aprovado
37,female,2,rent,quite rich,unknown,1402,12,furniture/equipment,Aprovado
36,male,3,free,unknown,moderate,12169,48,car,Negado
28,male,2,own,little,moderate,3060,48,radio/TV,Aprovado
34,male,1,own,little,little,11998,30,repairs,Negado
32,male,2,own,little,unknown,2697,9,radio/TV,Aprovado
26,female,2,own,little,unknown,2404,18,radio/TV,Aprovado
49,male,1,own,unknown,little,1262,12,furniture/equipment,Aprovado
32,female,2,own,little,unknown,4611,6,furniture/equipment,Aprovado
29,male,3,rent,moderate,unknown,1901,24,radio/TV,Aprovado
23,male,2,rent,rich,unknown,3368,15,car,Aprovado
50,male,2,own,little,unknown,1574,12,furniture/equipment,Aprovado
49,male,1,own,unknown,rich,1445,18,radio/TV,Aprovado
63,male,2,own,unknown,unknown,1520,15,furniture/equipment,Aprovado
37,male,2,own,moderate,moderate,3878,24,car,Aprovado
35,female,1,own,little,little,10722,47,car,Negado
26,male,2,own,little,little,4788,48,car,Aprovado
31,male,3,free,moderate,moderate,7582,48,vacation/others,Aprovado
49,female,2,own,little,moderate,1092,12,radio/TV,Aprovado
48,male,2,own,little,little,1024,24,radio/TV,Aprovado
26,male,2,own,little,unknown,1076,12,business,Aprovado
28,male,3,rent,little,moderate,9398,36,car,Negado
44,female,3,free,little,little,6419,24,car,Negado
56,male,2,free,little,rich,4796,42,car,Aprovado
46,male,3,own,unknown,unknown,7629,48,business,Negado
26,female,2,own,little,moderate,9960,48,furniture/equipment,Negado
20,female,2,rent,unknown,unknown,4675,12,car,Aprovado
45,male,1,own,unknown,unknown,1287,10,car,Aprovado
43,male,2,own,little,unknown,2515,18,furniture/equipment,Aprovado
32,male,2,own,rich,moderate,2745,21,furniture/equipment,Aprovado
54,female,0,own,little,unknown,672,6,car,Aprovado
42,female,2,own,little,moderate,3804,36,radio/TV,Aprovado
37,male,1,own,unknown,rich,1344,24,car,Aprovado
49,male,2,own,little,little,1038,10,car,Aprovado
44,male,2,free,quite rich,unknown,10127,48,car,Aprovado
33,male,2,own,rich,unknown,1543,6,furniture/equipment,Aprovado
24,female,1,rent,unknown,unknown,4811,30,car,Negado
33,male,1,own,moderate,little,727,12,radio/TV,Aprovado
24,female,2,own,little,moderate,1237,8,furniture/equipment,Aprovado
22,male,1,rent,little,moderate,276,9,car,Aprovado
40,male,0,free,unknown,moderate,5381,48,vacation/others,Negado
25,male,2,own,moderate,unknown,5511,24,furniture/equipment,Aprovado
26,female,2,own,little,rich,3749,24,furniture/equipment,Aprovado
25,male,1,own,little,moderate,685,12,car,Aprovado
29,male,1,own,unknown,rich,1494,4,car,Aprovado
31,male,2,own,little,little,2746,36,furniture/equipment,Aprovado
38,male,1,own,little,little,708,12,furniture/equipment,Aprovado
48,female,1,own,unknown,moderate,4351,24,furniture/equipment,Aprovado
32,male,2,own,little,unknown,701,12,education,Aprovado
27,female,1,own,little,little,3643,15,furniture/equipment,Aprovado
28,male,3,own,little,moderate,4249,30,car,Aprovado
32,male,2,own,little,little,1938,24,radio/TV,Aprovado
34,male,3,free,little,little,2910,24,car,Aprovado
28,male,2,own,rich,little,2659,18,furniture/equipment,Aprovado
36,female,2,own,little,unknown,1028,18,car,Aprovado
39,male,1,own,little,little,3398,8,car,Aprovado
49,male,2,rent,unknown,unknown,5801,12,furniture/equipment,Negado
34,female,2,own,rich,unknown,1525,24,car,Aprovado
31,male,2,own,little,rich,4473,36,radio/TV,Aprovado
28,male,2,own,little,moderate,1068,6,radio/TV,Aprovado
75,male,3,free,little,little,6615,24,car,Negado
30,female,2,own,moderate,unknown,1864,18,education,Aprovado
24,female,3,own,moderate,moderate,7408,60,car,Negado
24,female,1,rent,moderate,unknown,11590,48,car,Negado
23,male,2,rent,little,little,4110,24,furniture/equipment,Aprovado
44,male,3,rent,little,little,3384,6,furniture/equipment,Aprovado
23,female,1,own,little,moderate,2101,13,radio/TV,Aprovado
24,female,2,rent,unknown,little,1275,15,domestic appliances,Aprovado
28,male,2,own,little,little,4169,24,furniture/equipment,Aprovado
31,male,1,own,little,moderate,1521,10,furniture/equipment,Aprovado
24,female,2,free,little,moderate,5743,24,education,Negado
26,female,1,rent,little,little,3599,21,furniture/equipment,Aprovado
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,Aprovado
33,male,3,own,little,moderate,4439,18,business,Aprovado
37,male,1,own,little,rich,3949,10,car,Aprovado
43,female,1,own,little,unknown,1459,15,radio/TV,Aprovado
23,male,2,own,little,moderate,882,13,radio/TV,Aprovado
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,Aprovado
34,male,1,own,moderate,unknown,1743,6,business,Aprovado
32,male,2,free,rich,moderate,1136,9,education,Aprovado
23,female,2,rent,little,unknown,1236,9,domestic appliances,Aprovado
29,female,2,own,little,moderate,959,9,furniture/equipment,Aprovado
38,male,3,own,unknown,unknown,3229,18,car,Aprovado
28,male,2,rent,little,little,6199,12,radio/TV,Negado
46,male,2,free,quite rich,unknown,727,10,education,Aprovado
23,male,1,own,little,moderate,1246,24,car,Aprovado
49,male,2,own,unknown,unknown,2331,12,radio/TV,Aprovado
26,male,3,own,little,unknown,4463,36,radio/TV,Aprovado
28,male,2,own,little,unknown,776,12,radio/TV,Aprovado
23,female,2,rent,little,little,2406,30,furniture/equipment,Negado
61,male,2,free,unknown,moderate,1239,18,education,Aprovado
37,male,3,own,unknown,rich,3399,12,radio/TV,Aprovado
36,female,2,own,little,rich,2247,12,car,Aprovado
21,male,2,rent,little,unknown,1766,6,furniture/equipment,Aprovado
25,male,0,own,little,little,2473,18,furniture/equipment,Aprovado
36,male,2,own,little,unknown,1542,12,business,Aprovado
27,male,2,own,little,unknown,3850,18,car,Aprovado
22,female,2,rent,little,little,3650,18,furniture/equipment,Aprovado
42,male,2,own,little,little,3446,36,furniture/equipment,Aprovado
40,female,2,rent,little,moderate,3001,18,furniture/equipment,Aprovado
36,male,2,own,unknown,unknown,3079,36,car,Aprovado
33,male,2,own,little,unknown,6070,18,radio/TV,Negado
23,female,2,rent,little,unknown,2146,10,furniture/equipment,Aprovado
63,male,3,free,unknown,unknown,13756,60,car,Negado
60,female,3,free,moderate,moderate,14782,60,vacation/others,Aprovado
37,female,2,rent,little,little,7685,48,business,Negado
34,male,2,own,little,unknown,2320,18,radio/TV,Aprovado
36,male,2,free,unknown,unknown,846,7,radio/TV,Aprovado
57,male,3,free,little,moderate,14318,36,car,Negado
52,female,1,own,moderate,unknown,362,6,car,Aprovado
39,male,2,own,unknown,little,2212,20,furniture/equipment,Aprovado
38,female,3,free,little,moderate,12976,18,car,Negado
25,female,2,rent,unknown,unknown,1283,22,car,Aprovado
26,male,2,own,little,rich,1330,12,car,Aprovado
26,male,1,own,moderate,unknown,4272,30,business,Aprovado
25,female,2,own,little,unknown,2238,18,radio/TV,Aprovado
21,female,2,rent,unknown,unknown,1126,18,radio/TV,Aprovado
40,male,3,own,little,moderate,7374,18,furniture/equipment,Negado
27,male,2,own,quite rich,moderate,2326,15,business,Aprovado
27,female,2,own,little,unknown,1449,9,business,Aprovado
30,male,3,own,little,unknown,1820,18,car,Aprovado
19,female,1,rent,rich,moderate,983,12,furniture/equipment,Aprovado
39,male,3,free,little,little,3249,36,car,Aprovado
31,female,2,own,little,little,1957,6,radio/TV,Aprovado
31,male,3,own,little,unknown,2406,9,furniture/equipment,Aprovado
32,male,2,rent,moderate,moderate,11760,39,education,Aprovado
55,female,3,free,little,little,2578,12,furniture/equipment,Aprovado
46,male,2,own,little,little,2348,36,furniture/equipment,Aprovado
46,male,2,rent,little,moderate,1223,12,car,Aprovado
43,female,1,own,rich,unknown,1516,24,radio/TV,Aprovado
39,male,2,own,little,unknown,1473,18,radio/TV,Aprovado
28,male,2,own,unknown,moderate,1887,18,business,Aprovado
27,male,2,own,little,unknown,8648,24,business,Negado
27,male,1,own,little,unknown,802,14,car,Aprovado
43,male,2,own,unknown,moderate,2899,18,car,Aprovado
22,male,2,own,little,moderate,2039,24,radio/TV,Aprovado
43,male,2,own,unknown,unknown,2197,24,car,Aprovado
27,male,2,own,little,little,1053,15,radio/TV,Aprovado
26,male,3,own,quite rich,unknown,3235,24,radio/TV,Aprovado
28,male,2,own,quite rich,rich,939,12,car,Aprovado
20,female,2,own,little,moderate,1967,24,radio/TV,Aprovado
35,male,3,own,little,unknown,7253,33,car,Negado
42,male,3,own,little,unknown,2292,12,business,Aprovado
40,male,1,rent,quite rich,unknown,1597,10,car,Aprovado
35,female,2,own,unknown,little,1381,24,car,Aprovado
35,male,2,own,little,unknown,5842,36,car,Negado
33,male,1,own,little,little,2579,12,car,Aprovado
23,female,2,rent,unknown,little,8471,18,education,Negado
31,female,3,own,quite rich,unknown,2782,21,car,Aprovado
33,female,2,own,unknown,moderate,1042,18,car,Aprovado
20,female,2,rent,rich,unknown,3186,15,car,Aprovado
30,male,2,own,unknown,moderate,2028,12,car,Aprovado
47,male,1,own,little,moderate,958,12,car,Aprovado
34,male,3,own,moderate,unknown,1591,21,furniture/equipment,Aprovado
25,female,2,own,unknown,moderate,2762,12,furniture/equipment,Aprovado
21,male,2,rent,little,moderate,2779,18,car,Aprovado
29,male,2,own,little,unknown,2743,28,radio/TV,Aprovado
46,male,2,own,rich,unknown,1149,18,radio/TV,Aprovado
20,male,2,own,little,unknown,1313,9,furniture/equipment,Aprovado
55,female,0,free,little,little,1190,18,repairs,Aprovado
74,male,1,own,little,unknown,3448,5,business,Aprovado
29,male,3,own,little,moderate,11328,24,vacation/others,Negado
36,male,3,free,little,little,1872,6,furniture/equipment,Aprovado
33,male,2,own,little,unknown,2058,24,repairs,Aprovado
25,male,2,own,little,little,2136,9,furniture/equipment,Aprovado
25,male,2,own,unknown,moderate,1484,12,radio/TV,Aprovado
23,male,1,rent,quite rich,unknown,660,6,repairs,Aprovado
37,female,2,own,rich,unknown,1287,24,car,Aprovado
65,male,0,own,little,little,3394,42,repairs,Aprovado
26,female,0,own,little,rich,609,12,business,Aprovado
39,male,3,own,little,unknown,1884,12,car,Aprovado
30,female,2,own,little,little,1620,12,furniture/equipment,Aprovado
29,male,2,own,little,moderate,2629,20,vacation/others,Aprovado
41,male,1,own,little,unknown,719,12,education,Aprovado
30,female,3,own,little,moderate,5096,48,furniture/equipment,Negado
41,female,1,rent,unknown,unknown,1244,9,education,Aprovado
34,female,2,own,little,little,1842,36,car,Aprovado
35,male,2,own,little,moderate,2576,7,radio/TV,Aprovado
55,female,3,own,unknown,rich,1424,12,furniture/equipment,Aprovado
61,male,2,own,rich,moderate,1512,15,repairs,Aprovado
30,male,3,own,unknown,unknown,11054,36,car,Negado
29,female,2,own,little,unknown,518,6,radio/TV,Aprovado
34,male,2,own,little,unknown,2759,12,furniture/equipment,Aprovado
35,male,3,own,little,unknown,2670,24,car,Aprovado
31,male,2,own,little,little,4817,24,car,Aprovado
29,female,3,own,little,unknown,2679,24,car,Aprovado
36,male,2,rent,little,little,3905,11,car,Aprovado
35,male,2,free,little,little,3386,12,car,Aprovado
27,female,2,own,little,little,343,6,domestic appliances,Aprovado
32,male,2,own,little,unknown,4594,18,radio/TV,Aprovado
37,male,2,own,little,little,3620,36,furniture/equipment,Aprovado
36,male,2,own,little,little,1721,15,car,Aprovado
34,female,3,rent,little,moderate,3017,12,furniture/equipment,Aprovado
38,male,2,own,unknown,moderate,754,12,education,Aprovado
34,male,2,own,little,unknown,1950,18,business,Aprovado
63,male,2,own,little,little,2924,24,car,Aprovado
29,female,1,rent,little,little,1659,24,radio/TV,Aprovado
32,male,2,own,unknown,unknown,7238,48,radio/TV,Negado
26,female,2,own,little,unknown,2764,33,business,Aprovado
35,male,1,own,little,unknown,4679,24,car,Aprovado
22,male,2,rent,moderate,moderate,3092,24,radio/TV,Aprovado
23,female,2,own,little,little,448,6,education,Aprovado
28,male,1,own,little,little,654,9,car,Aprovado
36,male,3,own,unknown,unknown,1238,6,education,Aprovado
